2025-07-23 13:26:34.243 INFO [common.LoggingManager initialize] Logging system initialized
2025-07-23 13:26:34.278 INFO [client.ClientUI main] Starting Secure File Transfer Client application
2025-07-23 13:26:34.677 INFO [client.ClientUI lambda$main$25] Client UI initialized and displayed
2025-07-23 13:26:49.966 INFO [client.Client connect] Connected to server: localhost:9999
2025-07-23 13:26:49.966 INFO [common.LoggingManager logSecurity] [SECURITY] Established socket connection to localhost:9999
2025-07-23 13:26:49.967 INFO [common.LoggingManager logSecurity] [SECURITY] Creating user object with credentials for: Bob
2025-07-23 13:26:50.239 INFO [common.LoggingManager logSecurity] [SECURITY] Loading transfer history for user: Bob
2025-07-23 13:26:50.251 INFO [client.TransferHistory loadHistory] Loaded 1 transfer records from data/Bob_transfer_history.dat
2025-07-23 13:26:50.255 INFO [common.LoggingManager logTransfer] [TRANSFER:a99474ea-9c30-46cd-bc05-e081b7b9db0c] Loaded transfer record: File: Enterprice Software.pdf, Status: COMPLETED, From: Bob, To: Alice
2025-07-23 13:26:50.256 INFO [common.LoggingManager logSecurity] [SECURITY] Sending authentication request to server
2025-07-23 13:26:50.261 INFO [common.LoggingManager logSecurity] [SECURITY] Session token received: 8d940321...
2025-07-23 13:26:50.261 INFO [common.LoggingManager logSecurity] [SECURITY] Session refresh timer started
2025-07-23 13:26:50.262 INFO [client.Client login] Logged in as: Bob
2025-07-23 13:26:50.262 INFO [common.LoggingManager logSecurity] [SECURITY] Authentication successful for user: Bob
2025-07-23 13:26:50.266 INFO [client.TransferHistory loadHistory] Loaded 1 transfer records from data/Bob_transfer_history.dat
2025-07-23 13:26:50.267 INFO [common.LoggingManager logTransfer] [TRANSFER:a99474ea-9c30-46cd-bc05-e081b7b9db0c] Loaded transfer record: File: Enterprice Software.pdf, Status: COMPLETED, From: Bob, To: Alice
2025-07-23 13:27:49.061 INFO [common.LoggingManager logSecurity] [SECURITY] Public key validation passed - RSA 2048 bits, exponent: 65537
2025-07-23 13:27:49.062 INFO [common.LoggingManager logSecurity] [SECURITY] Public key validation passed - RSA 2048 bits, exponent: 65537
2025-07-23 13:27:49.069 INFO [common.LoggingManager logSecurity] [SECURITY] Using validated public key for Alice, fingerprint: 8a8a0d645fafe1fa...
2025-07-23 13:27:49.071 INFO [client.Client initiateFileTransfer] Using public key of receiver: Alice
2025-07-23 13:27:49.112 INFO [client.TransferHistory saveHistory] Transfer history saved to data/Bob_transfer_history.dat
2025-07-23 13:27:49.113 INFO [common.LoggingManager logTransfer] [TRANSFER:a99474ea-9c30-46cd-bc05-e081b7b9db0c] Saved transfer record: File: Enterprice Software.pdf, Status: COMPLETED, From: Bob, To: Alice
2025-07-23 13:27:49.113 INFO [common.LoggingManager logTransfer] [TRANSFER:7c9933dd-ed5a-440d-a6bc-0d5bf0e6bd61] Saved transfer record: File: Enterprice Software.pdf, Status: IN_PROGRESS, From: Bob, To: Alice
2025-07-23 13:27:49.114 INFO [client.Client initiateFileTransfer] Transfer request sent, waiting for recipient acceptance: 7c9933dd-ed5a-440d-a6bc-0d5bf0e6bd61
2025-07-23 13:27:50.555 INFO [client.Client processStringMessage] Transfer accepted by recipient: 7c9933dd-ed5a-440d-a6bc-0d5bf0e6bd61
2025-07-23 13:27:50.556 INFO [client.Client processStringMessage] Starting file transfer after acceptance: 7c9933dd-ed5a-440d-a6bc-0d5bf0e6bd61
2025-07-23 13:27:50.561 INFO [common.LoggingManager logTransfer] [TRANSFER:7c9933dd-ed5a-440d-a6bc-0d5bf0e6bd61] Starting file transfer: File: Enterprice Software.pdf, Size: 3466911 bytes
2025-07-23 13:27:50.561 FINE [common.LoggingManager logCrypto] [CRYPTO] File chunking: Starting file encryption with chunk size 4096
2025-07-23 13:27:50.562 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 1 of size 4096
2025-07-23 13:27:50.569 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 2 of size 4096
2025-07-23 13:27:50.570 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 3 of size 4096
2025-07-23 13:27:50.571 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 4 of size 4096
2025-07-23 13:27:50.572 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 5 of size 4096
2025-07-23 13:27:50.573 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 6 of size 4096
2025-07-23 13:27:50.574 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 7 of size 4096
2025-07-23 13:27:50.574 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 8 of size 4096
2025-07-23 13:27:50.575 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 9 of size 4096
